Date,Start Equity,End Equity,Sharpe Ratio,Sortino Ratio,Drawdown,Total Net Profit,Strategy
M3_20220531,143917.5996,137403.4021,-0.31,-0.3721,0.154,-0.0453,Creative Orange Bear
M3_20220630,149242.2157,126574.3066,-1.5795,-1.8611,0.194,-0.1519,Creative Orange Bear
M3_20220731,136342.5298,136918.3663,0.1052,0.1246,0.143,0.0042,Creative Orange Bear
M3_20220831,136645.1713,132414.6967,-0.3368,-0.3985,0.12,-0.031,Creative Orange Bear
M3_20220930,125564.4126,121325.691,-0.7336,-0.8992,0.15,-0.0338,Creative Orange Bear
M3_20221031,136918.3663,129933.5751,-0.6989,-0.959,0.164,-0.051,Creative Orange Bear
M3_20221130,131424.4123,131971.5072,-0.032,-0.0497,0.127,0.0042,Creative Orange Bear
M3_20221231,119484.6605,128347.3707,1.0173,1.8135,0.071,0.0742,Creative Orange Bear
M3_20230131,129011.419,134334.2999,0.6208,0.9733,0.071,0.0413,Creative Orange Bear
M3_20230228,136057.2166,133391.4245,-0.6492,-0.9059,0.071,-0.0196,Creative Orange Bear
M3_20230331,128347.3707,135867.6,1.0291,1.489,0.074,0.0586,Creative Orange Bear
M3_20230430,136276.0957,139914.9362,0.0557,0.075,0.074,0.0267,Creative Orange Bear
M3_20230531,132906.7997,141321.4103,1.3223,1.8452,0.046,0.0633,Creative Orange Bear
M3_20230630,137750.6207,147793.766,1.8279,3.1623,0.026,0.0729,Creative Orange Bear
M3_20230731,139914.9362,154041.7834,3.0005,5.7302,0.026,0.101,Creative Orange Bear
M3_20230831,140550.3316,152078.6902,1.8987,2.9141,0.046,0.082,Creative Orange Bear
M3_20230930,149511.0574,144763.781,-1.5444,-1.9335,0.065,-0.0318,Creative Orange Bear
M3_20231031,154330.7667,140800.4103,-2.6355,-3.4708,0.098,-0.0877,Creative Orange Bear
M3_20231130,151859.4615,153807.1996,-0.1701,-0.2213,0.085,0.0128,Creative Orange Bear
M3_20231231,144763.781,161349.6622,3.0609,3.8611,0.058,0.1146,Creative Orange Bear
M3_20240131,141670.4185,166564.1014,5.7682,9.0059,0.019,0.1757,Creative Orange Bear
M3_20240229,154403.8719,171708.2561,3.1286,3.9879,0.019,0.1121,Creative Orange Bear
